codigos;productos;uxb;fair_ventas;burzaco_ventas;a_korn_ventas;tucuman_ventas;fair_stock;burzaco_stock;a_korn_stock;tucuman_stock;cdistrib;ventas;stock
466297;ADHES. SUPRABOND EPOXI x2u;1;0.0;0.0;0.0;0.0;9.0;0.0;8.0;0.0;0.0;0.0;17.0
466298;ADHES. SUPRABOND S/TOLUENO x25ml;1;0.0;0.0;0.0;0.0;7.0;0.0;2.0;0.0;0.0;0.0;9.0
466501;ADHES. UNIPOX GEL SILICONA LIQ x24g;1;0.0;0.0;0.0;0.0;3.0;7.0;0.0;0.0;0.0;0.0;10.0
7006;ADHES. UNIPOX x25ml;6;1.16;0.33;0.16;0.0;82.0;16.5;3.33;0.0;0.0;1.66;101.83
20103;ADHES.EL PULPITO x240g;6;0.0;0.0;0.16;0.0;1.66;0.0;0.0;0.0;0.0;0.16;1.66
478455;ADHES.POXIRAN TRANSPARENTE AZUL x23M;1;3.0;0.0;0.0;1.0;39.0;42.0;54.0;48.0;0.0;4.0;183.0
477238;ADHESIVO ECCOLE x3g;6;9.66;0.16;0.66;2.0;126.16;88.16;101.83;14.66;0.0;12.49;330.83
477919;ADHESIVO INST. CANDELA x2gr;1;0.0;8.0;3.0;0.0;0.0;57.0;37.0;0.0;0.0;11.0;94.0
480088;ADHESIVO LUXOM EN GEL x3g;1;7.0;31.0;5.0;0.0;3334.0;171.0;279.0;922.0;0.0;43.0;4706.0
475220;ADOBO EL MENDOCINO PARA PIZZA x500g;1;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;7.0
792;ADOBO P/PIZZA CENTURION x20gr;50;5.92;0.0;1.82;0.0;21.24;0.0;-4.9;0.0;0.0;7.74;16.33
6829;ADOBO P/PIZZA CENTURION x500gr;1;0.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;5.0
478268;ADOBO P/PIZZA EL MENDOCINO x1kg;1;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0
466333;ADOBO PARA PIZZA SABOR SUR x25g;10;55.3;0.0;38.9;0.0;23.2;0.0;11.9;0.0;0.0;94.2;35.1
466815;ADOBO PIZZA AROMAS/SABORES x25g;1;0.0;77.0;172.0;0.0;0.0;371.0;360.0;0.0;0.0;249.0;731.0
463201;ADORNO CON LUZ CHICO;1;1.0;0.0;0.0;0.0;16.0;1.0;6.0;2.0;0.0;1.0;25.0
463202;ADORNO CON LUZ GRANDE;1;0.0;0.0;0.0;0.0;12.0;8.0;9.0;0.0;0.0;0.0;29.0
477290;ADORNO DE PUERTA 50CM IMP-EMA COD XM;1;0.0;0.0;0.0;0.0;5.0;5.0;0.0;18.0;0.0;0.0;28.0
477271;ADORNO UVAS E/BOLSA IMP-EMA COD XM-2;300;0.0;0.0;0.0;0.0;1.01;0.0;0.0;0.0;7.8;0.0;8.81
479654;AFEITADORA DALING 4 EN 1 COD-6028 IM;10;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0
478902;AFEITADORA ELECTRIC OM-M1 IMP-E;10;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0
475747;AFEITADORA FEMENINA SOIFER;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476124;AFEITADORA MASCUL SUKIZA AF121 IMP-E;1;0.0;0.0;0.0;0.0;5.0;2.0;2.0;4.0;0.0;0.0;13.0
476644;AFRECHO BARONESA x40Kg;1;0.0;0.0;0.0;289.0;0.0;0.0;0.0;35.0;0.0;289.0;35.0
476925;AGUA C/GAS CIMES x600ml;6;0.0;0.33;0.66;0.0;0.0;-7.16;0.0;0.0;0.0;1.0;-7.16
481142;AGUA CORAZON ARGENTINO BAJO SODIO x5;12;0.0;0.0;0.08;0.0;150.0;50.0;74.91;0.0;145.0;0.08;419.91
473874;AGUA D ALIBOUR COPEA x100ML;1;0.0;0.0;0.0;0.0;151.0;0.0;6.0;0.0;0.0;0.0;157.0
473875;AGUA D ALIBOUR COPEA x250ML;20;0.5;0.1;0.0;0.15;6.25;0.0;0.0;1.7;0.0;0.75;7.95
461559;AGUA DE AZAHAR NAPOLE x1 LT;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
