[110l

[2u[12c  
Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    1 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
[¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ DATOS DEL ANALISIS ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡] [¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ PORCENTAJES ¡¡¡¡¡¡¡¡¡¡¡¡¡¡]
       CAMPO            CODIGO            DESCRIPCION              TOTAL         NIVEL    NIV.6  NIV.5  NIV.4  NIV.3  NIV.2
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡
                                                                      51282,31 6  ****** 100,00                            
Sucursal             01          Fair   .                             25573,72 5  *****   49,87 100,00                     
Artículo             000464848   LECHE LA SERENISIMA 3% TTB L            34,00 4  ****     0,07   0,13 100,00              
Artículo             000007189   PETACA TRES PLUMAS x200ml CA            34,00 4  ****     0,07   0,13 100,00              
Artículo             000478442   PAN LACTAL SALVADO SABORIART            33,00 4  ****     0,06   0,13 100,00              
Artículo             000471656   CAÑITOS TUTTI-FRUTTI CAPULLI            33,00 4  ****     0,06   0,13 100,00              
Artículo             000468235   MAPLE DE HUEVO N1 X30 UNI               33,00 4  ****     0,06   0,13 100,00              
Artículo             000006600   CHOCOLATE MISKY BLANCO x25gr            33,00 4  ****     0,06   0,13 100,00              
Artículo             000003661   MALVAVISCOS BUFFYS FRESA X20            33,00 4  ****     0,06   0,13 100,00              
Artículo             000000488   BICARBONATO ALICANTE x50gr              33,00 4  ****     0,06   0,13 100,00              
Artículo             000000092   ACEITE CAÑUELAS GIRASOL x900            33,00 4  ****     0,06   0,13 100,00              
Artículo             000003300   TE TARAGUI X25saq SAQUITOS              32,00 4  ****     0,06   0,13 100,00              
Artículo             000002559   PAN RALLADO EXCLUSIVO 400g              32,00 4  ****     0,06   0,13 100,00              
Artículo             000001698   CHOCOLATE HAMLET CHOCOLATOSO            32,00 4  ****     0,06   0,13 100,00              
Artículo             000001392   FIDEO LUCCHETTI x500g CODITO            32,00 4  ****     0,06   0,13 100,00              
Artículo             000478512   PAPAS FRITAS C/AMERICANO PAP            31,00 4  ****     0,06   0,12 100,00              
Artículo             000469389   GALL ARCOR MACUCAS x110gr               31,00 4  ****     0,06   0,12 100,00              
Artículo             000005701   CHOCOLATE MARROC (X UNIDAD)             31,00 4  ****     0,06   0,12 100,00              
